0.41860	0.14320	0.00000	0.57396
0.31502	0.53685	0.03510	0.00569
0.26700	0.57434	0.00000	0.00000
0.58434	0.00000	0.00000	0.85268
0.71554	0.00000	0.00000	0.89725
0.74485	0.00000	0.00000	0.91813
0.89377	0.00000	0.50449	0.00000
0.73340	0.00130	0.01167	0.86655
0.74485	0.00000	0.00000	0.91813
0.96100	0.03605	0.00000	0.89035
0.79270	0.00000	0.00780	0.90540
0.74485	0.00000	0.00000	0.91813
1.00957	0.00000	0.00000	0.94848
0.91103	0.00021	0.00000	0.85215
0.94476	0.00000	0.00000	0.87846
1.20849	0.00000	0.00000	0.98542
0.94679	0.00000	0.00064	0.86980
0.94476	0.00000	0.00000	0.87846
