0.26700	0.57434	0.00000	0.00000
0.29197	0.55573	0.01907	0.00068
0.39893	0.00000	0.00000	0.70542
0.74485	0.00000	0.00000	0.91813
0.74239	0.00000	0.00419	0.90148
0.39893	0.00000	0.00000	0.70542
0.74485	0.00000	0.00000	0.91813
0.74239	0.00000	0.00419	0.90148
1.14688	0.00000	0.00000	0.96259
0.94476	0.00000	0.00000	0.87846
0.75729	0.00000	0.00000	0.91443
1.14688	0.00000	0.00000	0.96259
0.94476	0.00000	0.00000	0.87846
0.90670	0.00000	0.00000	0.83843
1.14688	0.00000	0.00000	0.96259
0.94476	0.00000	0.00000	0.87846
0.95967	0.00042	0.00050	0.88561
1.42209	0.00000	0.48510	0.00000
